type,term,BT,haslinghuis,wal,wikipedia,,definitie
object,anker,bouwonderdelen,haslinghuis,,,,
materiaal,ankernagels,bouwonderdelen,,,,,
materiaal,ankers,bouwonderdelen,haslinghuis,,,,
materiaal,blinde ankers,bouwonderdelen,,wal p. 161-165,,,
object,blinde boom,bouwonderdelen,,,,,
materiaal,boere ijzers,bouwonderdelen,,,,,
materiaal,bomen,bouwonderdelen,,,,,
object,dakraam,bouwonderdelen,,,,,
object,deur,bouwonderdelen,haslinghuis,,,,
materiaal,doken,bouwonderdelen,haslinghuis,wal p. 163,,,
object,duim,bouwonderdelen,haslinghuis,wal p. 189-196,,,
materiaal,duimen,bouwonderdelen,haslinghuis,wal p. 189-196,,,
object,glaskozijn,bouwonderdelen,,,,,
object,goot,bouwonderdelen,haslinghuis,,,,
materiaal,gootijzers,bouwonderdelen,haslinghuis,,,,
object,grendel,bouwonderdelen,haslinghuis,,,,
materiaal,grendels,bouwonderdelen,haslinghuis,,,,
materiaal,haakankers,bouwonderdelen,,,,,
object,hangelt,bouwonderdelen,haslinghuis [geheng],,,,
object,hek,bouwonderdelen,,,,,
object,hengsel,bouwonderdelen,haslinghuis [geheng],,,,
materiaal,hengsels,bouwonderdelen,haslinghuis,,,,
materiaal,houvasten,bouwonderdelen,,wal p. 124-125,,,
materiaal,klauwduimen,bouwonderdelen,,,,,
materiaal,kozijnankers,bouwonderdelen,,,,,
materiaal,kozijnijzers,bouwonderdelen,,,,,
materiaal,kranen,bouwonderdelen,,,,,
materiaal,landhekken,bouwonderdelen,,,,,
materiaal,lansjes,bouwonderdelen,,,,,
materiaal,latij ijzers,bouwonderdelen,,,,,
object,luik,bouwonderdelen,haslinghuis,,,,
materiaal,nisbussen,bouwonderdelen,haslinghuis,,,,
object,pomp,bouwonderdelen,,,,,
object,pompbeugel,bouwonderdelen,,,,,
materiaal,ringstellen,bouwonderdelen,haslinghuis [ring],,,,
materiaal,scharnieren,bouwonderdelen,haslinghuis,wal p. 196-204,,,
object,schoorsteen,bouwonderdelen,haslinghuis,,,,
materiaal,schoorsteenankers,bouwonderdelen,,,,,
materiaal,schoorsteenplaten,bouwonderdelen,,,,,
object,sleutel,bouwonderdelen,haslinghuis,,,,
materiaal,sleutelankers,bouwonderdelen,,,,,
materiaal,sleutels,bouwonderdelen,haslinghuis,,,,
object,sleutels,bouwonderdelen,haslinghuis,,,,
object,slot,bouwonderdelen,,wal p. 304-324,,,
materiaal,slotschroeven,bouwonderdelen,,,,,
object,sluiting,bouwonderdelen,,,,,
object,stalreppel,bouwonderdelen,,,,,drinkbak in een stal
object,trapleuning,bouwonderdelen,,,,,
object,tuindeur,bouwonderdelen,,,,,
object,venster,bouwonderdelen,,,,,
object,afvoerpijp,bouwonderdelen,,,,,
materiaal,balkijzers,bouwonderdelen?,,,,,
materiaal,achternaven,fietsonderdelen,,,,,
object,bandventiel,fietsonderdelen,,,,,
object,binnenband,fietsonderdelen,,,,,
materiaal,binnenbanden,fietsonderdelen,,,,,
materiaal,buitenbanden,fietsonderdelen,,,,,
materiaal,cups,fietsonderdelen,,,,,
object,fietsband,fietsonderdelen,,,,,
materiaal,fietsbanden,fietsonderdelen,,,,,
object,fietsketting,fietsonderdelen,,,,,
object,fietsmoer,fietsonderdelen,,,,,
materiaal,kettingkasten,fietsonderdelen,,,,,
materiaal,kogels,fietsonderdelen,,,,,
materiaal,pakketdragers,fietsonderdelen,,,,,
object,rem,fietsonderdelen,,,,,
materiaal,rubber,fietsonderdelen,,,,,
materiaal,salution,fietsonderdelen,,,,,
materiaal,spaken,fietsonderdelen,,,,,
materiaal,torpedonaven,fietsonderdelen,,,,,
object,trapas,fietsonderdelen,,,,,
object,trapper,fietsonderdelen,,,,,
materiaal,trappers,fietsonderdelen,,,,,
object,voorvork,fietsonderdelen,,,,,
materiaal,zadelpenbouten,fietsonderdelen,,,,,
